enable_batch_dco,ef,recall,latency(ms),QPS,nq
False,160,0.9056,0.5102138519287109,1959.9624671494096,1000
False,180,0.909,0.5655620098114014,1768.1527094322887,1000
False,200,0.9108,0.6187648773193359,1616.1227578596288,1000
False,220,0.9144,0.6749832630157471,1481.5182165141632,1000
False,240,0.9158,0.7352039813995361,1360.1667364428542,1000
False,260,0.9179,0.7936952114105225,1259.9294863110504,1000
False,280,0.922,0.8534393310546875,1171.7294523609448,1000
False,300,0.9246,0.9109444618225098,1097.76176475053,1000
False,320,0.9264,0.9649534225463868,1036.3194498664295,1000
False,340,0.9281,1.0188794136047363,981.4704141111832,1000
False,360,0.9287,1.0860264301300049,920.7879037348042,1000
False,380,0.9316,1.138026237487793,878.7143626912438,1000
False,400,0.932,1.1940207481384275,837.5063846747041,1000
False,500,0.9394,1.4900877475738523,671.1014177709943,1000
False,600,0.9443,1.774366855621338,563.5813117405338,1000
False,700,0.9497,2.059584140777588,485.5349097912815,1000
False,800,0.9522,2.411883354187012,414.6137491533359,1000
False,900,0.9543,2.69864273071289,370.556646353789,1000
False,1000,0.9574,3.0508058071136475,327.7822526980487,1000
False,1200,0.962,3.5263121128082275,283.5823852255767,1000
False,1400,0.9656,4.069044828414917,245.75792161757693,1000
False,1600,0.9687,4.580374240875244,218.3227717674253,1000
False,1800,0.9704,5.159295558929443,193.8249105091976,1000
False,2000,0.973,5.694602251052856,175.60488966812622,1000
False,2500,0.9765,7.1267194747924805,140.317014516573,1000
False,3000,0.9784,8.48561143875122,117.84654614672816,1000
False,3500,0.9791,9.868706941604614,101.33039778333956,1000
False,4000,0.9824,11.320444583892822,88.33575329919813,1000
False,5500,0.9835,14.91012191772461,67.06853274024785,1000
False,6000,0.9842,16.15673279762268,61.893701686218456,1000
