enable_batch_dco,gamma,ef,recall,latency(ms),QPS,nq
True,1.0,260,0.91762,0.636718463897705,1570.5528529492426,10000
True,1.0,280,0.92031,0.6801003456115723,1470.3712569073343,10000
True,1.0,300,0.92288,0.7240118980407715,1381.1927714255419,10000
True,1.0,320,0.92442,0.767955231666565,1302.1592389309817,10000
True,1.0,340,0.92664,0.8122026443481445,1231.2198279070826,10000
True,1.0,360,0.92826,0.8567298650741577,1167.2290657375893,10000
True,1.0,380,0.93033,0.9037164449691772,1106.5417759816319,10000
True,1.0,400,0.93197,0.9528810977935791,1049.4488791051958,10000
True,1.0,500,0.93912,1.1731147050857544,852.431561606672,10000
True,1.0,600,0.9449,1.3993881225585938,714.5980331544004,10000
True,1.0,700,0.94911,1.6225080251693726,616.3297712475787,10000
True,1.0,800,0.95301,1.863966464996338,536.4903386295443,10000
True,1.0,900,0.95616,2.082686948776245,480.1489732230687,10000
True,1.0,1000,0.95847,2.3135482549667357,432.2364998669016,10000
True,1.0,1200,0.96244,2.786584496498108,358.8622563775464,10000
True,1.0,1400,0.96583,3.235170340538025,309.1027348605375,10000
True,1.0,1600,0.96822,3.713323640823364,269.3005233926412,10000
True,1.0,1800,0.97042,4.176616382598877,239.42826163454242,10000
True,1.0,2000,0.97268,4.619606328010559,216.46866182873458,10000
True,1.0,300,0.92288,0.7251346111297607,1379.0542950942565,10000
True,1.0,4000,0.98081,9.091609406471253,109.99152683442571,10000
True,1.1,100,0.86581,0.2599376678466797,3847.0761405377957,10000
True,1.1,120,0.87663,0.30100126266479493,3322.245199727396,10000
True,1.1,140,0.88575,0.3470703840255737,2881.259957710236,10000
True,1.1,160,0.89267,0.38506479263305665,2596.9655474395427,10000
True,1.1,180,0.89772,0.4213132858276367,2373.5306567310804,10000
True,1.1,200,0.90178,0.4655444145202637,2148.0227639085406,10000
True,1.1,220,0.90581,0.5059908628463745,1976.3202726125376,10000
True,1.1,240,0.9092,0.5431406736373902,1841.1436457208079,10000
True,1.1,260,0.91236,0.5826019048690796,1716.4379169421302,10000
True,1.1,280,0.9154,0.6231835603713989,1604.663639400291,10000
True,1.1,300,0.91754,0.664006519317627,1506.0093100104802,10000
True,1.1,320,0.92017,0.7026209592819214,1423.2424848555613,10000
True,1.1,340,0.92303,0.7426424503326416,1346.5430094281357,10000
True,1.1,360,0.92488,0.7825101613998413,1277.938676490908,10000
True,1.1,380,0.92687,0.8260644197463989,1210.5593414942132,10000
True,1.1,400,0.92806,0.8691770792007446,1150.5135419810588,10000
True,1.1,500,0.93504,1.06620512008667,937.9058317772023,10000
True,1.1,600,0.94044,1.2691110610961913,787.9531040697515,10000
True,1.1,700,0.94556,1.4692049026489258,680.6402552816387,10000
True,1.1,800,0.94939,1.6884410381317139,592.2623161934724,10000
True,1.1,900,0.95265,1.8744326114654541,533.4947727025449,10000
True,1.1,1000,0.95578,2.0646679639816283,484.339379234393,10000
True,1.1,1200,0.95959,2.477488803863525,403.6345183237752,10000
True,1.1,1400,0.96393,2.882581329345703,346.911287400513,10000
True,1.1,1600,0.96646,3.293198800086975,303.6561291026796,10000
True,1.1,1800,0.96904,3.6890841484069825,271.06998912774037,10000
True,1.1,2000,0.97063,4.134104824066162,241.8903348020176,10000
True,1.1,300,0.91754,0.672237229347229,1487.5700963052025,10000
True,1.1,4000,0.97999,8.085713839530944,123.67491848536781,10000
