enable_batch_dco,gamma,ef,recall,latency(ms),QPS,nq
True,0.9,1800,0.971,4.3845508098602295,228.07353440884813,1000
True,0.9,2000,0.9727,4.872477054595947,205.23441953549138,1000
True,0.9,2500,0.9754,6.262038469314575,159.69240765610581,1000
True,0.9,3000,0.9773,7.726104497909546,129.4313324742851,1000
True,0.9,3500,0.9799,8.89859914779663,112.37723864071442,1000
True,0.9,4000,0.9811,10.167376041412354,98.35379314455746,1000
True,0.9,4500,0.9805,11.25514554977417,88.84825128006138,1000
True,0.9,5000,0.9819,12.526530742645264,79.8305628705005,1000
True,0.9,5500,0.9839,13.892312049865723,71.98225870615003,1000
True,0.9,6000,0.9831,15.116694688796997,66.15202731726144,1000
True,1.0,100,0.8493,0.19461655616760254,5138.308989183872,1000
True,1.0,120,0.8612,0.2249157428741455,4446.109406221346,1000
True,1.0,140,0.87,0.25435328483581543,3931.5395539141477,1000
True,1.0,160,0.8771,0.28446102142333984,3515.4201267940416,1000
True,1.0,180,0.8848,0.31411218643188477,3183.575942593523,1000
True,1.0,200,0.8927,0.3437960147857666,2908.7015468260765,1000
True,1.0,220,0.8976,0.3743557929992676,2671.25557744997,1000
True,1.0,240,0.904,0.40299439430236816,2481.424094573624,1000
True,1.0,260,0.9073,0.4330289363861084,2309.3144960371756,1000
True,1.0,280,0.9076,0.47032999992370605,2126.166734340173,1000
True,1.0,300,0.9094,0.5032436847686768,1987.1088903175496,1000
True,1.0,320,0.9115,0.5330798625946045,1875.8915317731257,1000
True,1.0,340,0.9154,0.5690929889678955,1757.1820763661058,1000
True,1.0,360,0.9166,0.599999189376831,1666.6689184007337,1000
True,1.0,380,0.9189,0.6267857551574707,1595.4414914052486,1000
True,1.0,400,0.92,0.6582374572753906,1519.2085909836399,1000
True,1.0,500,0.9288,0.808497428894043,1236.862313053879,1000
True,1.0,600,0.9347,0.9636290073394775,1037.7437710815084,1000
True,1.0,700,0.94,1.1245331764221191,889.2578902666605,1000
True,1.0,800,0.945,1.276386022567749,783.4620422967859,1000
True,1.0,900,0.9484,1.4358491897583008,696.4519722077023,1000
True,1.0,1000,0.9517,1.5981910228729248,625.7074315199128,1000
True,1.0,1200,0.9567,1.916511058807373,521.7814921570506,1000
True,1.0,1400,0.9601,2.247514486312866,444.9359530672207,1000
True,1.0,1600,0.9621,2.590202808380127,386.0701551108983,1000
True,1.0,1800,0.9644,2.9690115451812744,336.8124322800316,1000
True,1.0,2000,0.9678,3.2503247261047363,307.6615674638832,1000
True,1.0,2500,0.9721,4.1645801067352295,240.12024606820145,1000
True,1.0,3000,0.9756,4.964989900588989,201.41027877647275,1000
True,1.0,3500,0.9773,5.813718318939209,172.00695753392873,1000
True,1.0,4000,0.9808,6.675627946853638,149.7986418598,1000
True,1.0,4500,0.9796,7.424863815307617,134.6826049439897,1000
True,1.0,5000,0.9826,8.314393997192383,120.2733476832685,1000
True,1.0,5500,0.9817,9.204716682434082,108.63995432997525,1000
True,1.0,6000,0.9823,9.900977611541748,101.00012738482329,1000
True,1.1,100,0.7878,0.17307734489440918,5777.763696398733,1000
True,1.1,120,0.8164,0.20157098770141602,4961.0314033946415,1000
True,1.1,140,0.8326,0.22963333129882812,4354.7685100586405,1000
True,1.1,160,0.8442,0.2578880786895752,3877.6511309920575,1000
True,1.1,180,0.8549,0.2843902111053467,3516.2954312431307,1000
True,1.1,200,0.8621,0.3112337589263916,3213.019061458899,1000
True,1.1,220,0.8717,0.33872270584106445,2952.267393816877,1000
True,1.1,240,0.8772,0.3679521083831787,2717.744992396179,1000
True,1.1,260,0.8801,0.39205002784729004,2550.6948832293324,1000
True,1.1,280,0.886,0.41989898681640625,2381.5251558042773,1000
True,1.1,300,0.8872,0.44780397415161133,2233.1199759773317,1000
True,1.1,320,0.8909,0.47142553329467773,2121.225791507822,1000
True,1.1,340,0.8975,0.4994027614593506,2002.3918111261708,1000
True,1.1,360,0.8993,0.526047945022583,1900.9674107881372,1000
True,1.1,380,0.9042,0.5629706382751465,1776.2915719083376,1000
True,1.1,400,0.906,0.5879597663879395,1700.7966482866345,1000
True,1.1,500,0.9162,0.723970890045166,1381.2710065422843,1000
True,1.1,600,0.9219,0.8588595390319824,1164.3347422409681,1000
True,1.1,700,0.9259,0.9976053237915039,1002.4004244478116,1000
True,1.1,800,0.9317,1.1267743110656738,887.4891716817949,1000
True,1.1,900,0.9353,1.2692983150482178,787.8368608422932,1000
True,1.1,1000,0.94,1.3994107246398926,714.5864915801099,1000
True,1.1,1200,0.9455,1.669649600982666,598.9280621583438,1000
True,1.1,1400,0.9492,1.9199552536010742,520.8454718537824,1000
True,1.1,1600,0.956,2.200824499130249,454.3751673044322,1000
True,1.1,1800,0.9584,2.492311477661133,401.2339585012195,1000
True,1.1,2000,0.9591,2.7669997215270996,361.40227706568135,1000
True,1.1,2500,0.9653,3.454279899597168,289.4959381017787,1000
True,1.1,3000,0.9687,4.1895787715911865,238.687480178396,1000
True,1.1,3500,0.9723,4.834179162979126,206.86035132047877,1000
True,1.1,4000,0.9753,5.573978662490845,179.4050642370292,1000
True,1.1,4500,0.9764,6.2634570598602295,159.65623942863195,1000
True,1.1,5000,0.9785,6.8709094524383545,145.5411407939773,1000
True,1.1,5500,0.9779,7.53117299079895,132.78144071603833,1000
True,1.1,6000,0.9805,8.200091123580933,121.94986432825222,1000
