enable_batch_dco,gamma,ef,recall,latency(ms),QPS,nq
True,0.9,700,0.9489,1.5970628261566162,626.1494436048785,1000
True,0.9,800,0.9516,1.8411717414855957,543.1323854629253,1000
True,0.9,900,0.9546,2.087759017944336,478.9824838043938,1000
True,0.9,1000,0.9568,2.3290250301361084,429.36421337711425,1000
True,0.9,1200,0.9615,2.838376522064209,352.3140753971394,1000
True,0.9,1400,0.965,3.3116073608398438,301.9681656180381,1000
True,0.9,1600,0.9691,3.832937240600586,260.89652327396556,1000
True,0.9,1800,0.971,4.321815252304077,231.38425444421134,1000
True,0.9,2000,0.9727,4.945851802825928,202.1896409084936,1000
True,0.9,2500,0.9754,6.128735303878784,163.16580018835452,1000
True,0.9,3000,0.9773,7.336519241333008,136.3044199988093,1000
True,0.9,3500,0.9799,8.703655481338501,114.89425358622006,1000
True,0.9,4000,0.9811,9.875353574752808,101.2621970879692,1000
True,0.9,4500,0.9805,11.013931274414062,90.7941020408446,1000
True,0.9,5000,0.9819,12.251306533813477,81.62394739206064,1000
True,0.9,5500,0.9839,13.586300373077393,73.60355450271065,1000
True,0.9,6000,0.9831,14.567089319229126,68.6478937614504,1000
True,1.0,100,0.8493,0.19486713409423828,5131.701683037003,1000
True,1.0,120,0.8612,0.22525691986083984,4439.375272545608,1000
True,1.0,140,0.87,0.2553260326385498,3916.5610716069905,1000
True,1.0,160,0.8771,0.284512996673584,3514.77792470507,1000
True,1.0,180,0.8848,0.31382274627685547,3186.5121692542857,1000
True,1.0,200,0.8927,0.34339094161987305,2912.132729194063,1000
True,1.0,220,0.8976,0.37333226203918457,2678.5791148557128,1000
True,1.0,240,0.904,0.4035499095916748,2478.0082369782544,1000
True,1.0,260,0.9073,0.4346127510070801,2300.898898347576,1000
True,1.0,280,0.9076,0.46368408203125,2156.640779254969,1000
True,1.0,300,0.9094,0.491976261138916,2032.618398467069,1000
True,1.0,320,0.9115,0.5218489170074463,1916.263438342502,1000
True,1.0,340,0.9154,0.5525248050689697,1809.8734949558934,1000
True,1.0,360,0.9166,0.5832118988037109,1714.6426574135546,1000
True,1.0,380,0.9189,0.6123602390289307,1633.025686948227,1000
True,1.0,400,0.92,0.6424148082733154,1556.6266330127153,1000
True,1.0,500,0.9288,0.7966217994689941,1255.3008223809243,1000
True,1.0,600,0.9347,0.954047441482544,1048.1659050896337,1000
