enable_batch_dco,ef,recall,latency(ms),QPS,nq
False,120,0.8393,0.3972358703613281,2517.3960223944378,1000
False,140,0.8524,0.44640040397644043,2240.141341925794,1000
False,160,0.8626,0.5009257793426514,1996.303726496703,1000
False,180,0.8701,0.5574944019317627,1793.7399847153981,1000
False,200,0.8778,0.6076052188873291,1645.8054817752222,1000
False,220,0.8846,0.663515567779541,1507.1236434534705,1000
False,240,0.8921,0.7203123569488525,1388.2866097645015,1000
False,260,0.8974,0.7724463939666748,1294.588217138007,1000
False,280,0.9029,0.8282527923583984,1207.3608555578328,1000
False,300,0.9068,0.8767497539520264,1140.5763109626348,1000
False,320,0.9106,0.9261527061462402,1079.7355483212282,1000
False,340,0.9137,1.0050265789031982,994.9985612234417,1000
False,360,0.9167,1.0536329746246338,949.0970993540317,1000
False,380,0.9188,1.0937387943267822,914.2950814097435,1000
False,400,0.9219,1.149815559387207,869.7047033638586,1000
False,450,0.929,1.2764873504638672,783.3998508771799,1000
False,500,0.9338,1.3988583087921143,714.8686852090686,1000
False,550,0.9388,1.5248439311981201,655.8048201131423,1000
False,600,0.9424,1.6598165035247803,602.4762363046781,1000
False,650,0.9457,1.789048433303833,558.95635991995,1000
False,700,0.9486,1.9189321994781494,521.1231539456936,1000
False,750,0.9516,2.0518128871917725,487.3738761669719,1000
False,800,0.9539,2.174494743347168,459.87694523497197,1000
False,900,0.958,2.426987886428833,412.0333709087605,1000
False,1000,0.962,2.675837516784668,373.7147691992962,1000
False,1200,0.968,3.183084011077881,314.16073107708274,1000
False,1400,0.9725,3.6876444816589355,271.1758156117416,1000
False,1600,0.9773,4.194742679595947,238.3936456613171,1000
False,1800,0.9807,4.6953511238098145,212.9766174310301,1000
False,2000,0.9844,5.311446666717529,188.2726237780336,1000
False,3000,0.9903,7.966534852981567,125.52508944660407,1000
False,4000,0.9931,10.146834373474121,98.55290459990186,1000
