QPS,pruning_ratio,recall,gamma,ef
153.39718689803556,0.0,0.8085,0.0,40,600.0
133.0977561674788,0.0,0.8698,0.0,60,600.0
131.51396913251597,0.0,0.9078,0.0,80,600.0
133.13402132668944,0.0,0.93,0.0,100,600.0
127.55162691499459,0.0,0.9467,0.0,120,600.0
118.04203674905173,0.0,0.9623,0.0,150,600.0
109.1268071126268,0.0,0.9769,0.0,200,600.0
82.60286758093312,0.0,0.9945,0.0,400,600.0
64.93977674815109,0.0,0.9974,0.0,600,600.0
54.54477736628109,0.0,0.9985,0.0,800,600.0
