QPS,pruning_ratio,recall,gamma,nprobe,k_factor
51.15684016295139,0.9405490112304687,0.9448521959459459,0.6,1200,1.0
46.82259335610551,0.9438363647460938,0.9523462837837838,0.6,1300,1.0
45.5976625597029,0.946798828125,0.9589738175675676,0.6,1400,1.0
42.700857672220394,0.949490966796875,0.9648445945945946,0.6,1500,1.0
39.29564044033298,0.9519545288085938,0.9700050675675675,0.6,1600,1.0
37.08423661769874,0.9542219848632812,0.974375,0.6,1700,1.0
35.8377214698669,0.956305908203125,0.9782550675675675,0.6,1800,1.0
34.00474624504226,0.9582381591796875,0.9815548986486486,0.6,1900,1.0
32.1121652216372,0.9600374145507813,0.9845456081081081,0.6,2000,1.0

33.03394779715019,0.1534047088623047,0.9448716216216216,0.55,1200,1.0
31.28040090662139,0.16090193176269532,0.9523648648648648,0.55,1300,1.0
29.147312425152553,0.16836933898925782,0.9589923986486486,0.55,1400,1.0
27.302260799879903,0.1758542938232422,0.9648606418918919,0.55,1500,1.0
25.658149284222553,0.1834060821533203,0.9700202702702703,0.55,1600,1.0
23.50417329387466,0.19105812072753905,0.9743893581081081,0.55,1700,1.0
22.04139046835921,0.19883102416992188,0.9782677364864865,0.55,1800,1.0
21.74251163689548,0.20674797058105468,0.9815684121621622,0.55,1900,1.0
20.750231541997,0.21486361694335937,0.984558277027027,0.55,2000,1.0
