QPS,pruning_ratio,recall,nprobe,gamma,total_distance_computation,actual_distance_computation
1117.2369116418622,0.9915079345703125,0.9464,400,0.6,109476.736,893.952
852.6508934296158,0.9938675537109375,0.9654,600,0.6,162864.128,969.1
691.7435489776329,0.9951749877929688,0.9756,800,0.6,217038.592,1022.78
579.5257904827595,0.9960158081054687,0.9822,1000,0.6,272201.088,1064.28
499.3718419460994,0.9966092529296875,0.986,1200,0.6,328390.08,1097.158
436.359217664838,0.9970535888671875,0.9876,1400,0.6,385850.56,1123.462
388.5299883764403,0.997400390625,0.9902,1600,0.6,444412.032,1145.036

3029.8615495527774,0.9653549194335938,0.8232,60,0.6,17962.56,577.5
2423.382968446305,0.9758770751953125,0.8624,100,0.6,29106.048,656.594
1708.691287854098,0.9855441284179688,0.9046,200,0.6,56235.456,769.982
1127.8388205500248,0.9915079345703125,0.9464,400,0.6,109476.736,893.952
858.7469754601252,0.9938675537109375,0.9654,600,0.6,162864.128,969.1
695.8031215639538,0.9951749877929688,0.9756,800,0.6,217038.592,1022.78
582.4472509621348,0.9960158081054687,0.9822,1000,0.6,272201.088,1064.28
502.38333310176347,0.9966092529296875,0.986,1200,0.6,328390.08,1097.158
439.29036601525695,0.9970535888671875,0.9876,1400,0.6,385850.56,1123.462
391.22838862337323,0.997400390625,0.9902,1600,0.6,444412.032,1145.036

=============================
baseline 
+ 批量过滤lowerbound > distance_k的批次
+ LIKELY Hints
+ Aligned Load & Store
+ Fix Enqueue
3363.952654635165,0.9653549194335938,0.8232,60,0.6,17962.56,577.5
2658.4590421621074,0.9758770751953125,0.8624,100,0.6,29106.048,656.594
1823.3805302809646,0.9855441284179688,0.9046,200,0.6,56235.456,769.982
1187.6773670699115,0.9915079345703125,0.9464,400,0.6,109476.736,893.952
896.1131080265747,0.9938675537109375,0.9654,600,0.6,162864.128,969.1
717.1407819379796,0.9951749877929688,0.9756,800,0.6,217038.592,1022.78
602.0333876090587,0.9960158081054687,0.9822,1000,0.6,272201.088,1064.28
513.6456474196993,0.9966092529296875,0.986,1200,0.6,328390.08,1097.158
446.07717703173216,0.9970535888671875,0.9876,1400,0.6,385850.56,1123.462
397.08943369910753,0.997400390625,0.9902,1600,0.6,444412.032,1145.036

3369.6658857706607,0.9653549194335938,0.8232,60,0.6,17962.56,577.5
2643.819935756176,0.9758770751953125,0.8624,100,0.6,29106.048,656.594
1820.4744696310095,0.9855441284179688,0.9046,200,0.6,56235.456,769.982
1182.5873948816907,0.9915079345703125,0.9464,400,0.6,109476.736,893.952
895.3716440940068,0.9938675537109375,0.9654,600,0.6,162864.128,969.1
719.9762977773673,0.9951749877929688,0.9756,800,0.6,217038.592,1022.78
600.1916925409622,0.9960158081054687,0.9822,1000,0.6,272201.088,1064.28
513.7807973584222,0.9966092529296875,0.986,1200,0.6,328390.08,1097.158
447.8086618324489,0.9970535888671875,0.9876,1400,0.6,385850.56,1123.462
398.53686569387895,0.997400390625,0.9902,1600,0.6,444412.032,1145.036

3394.070436827446,0.9653549194335938,0.8232,60,0.6,17962.56,577.5
2660.0405128927146,0.9758770751953125,0.8624,100,0.6,29106.048,656.594
1826.0144224657506,0.9855441284179688,0.9046,200,0.6,56235.456,769.982
1186.9486988940162,0.9915079345703125,0.9464,400,0.6,109476.736,893.952
895.3242444087915,0.9938675537109375,0.9654,600,0.6,162864.128,969.1
717.5699511560866,0.9951749877929688,0.9756,800,0.6,217038.592,1022.78
599.976025585678,0.9960158081054687,0.9822,1000,0.6,272201.088,1064.28
512.9614269714012,0.9966092529296875,0.986,1200,0.6,328390.08,1097.158
447.38393233707137,0.9970535888671875,0.9876,1400,0.6,385850.56,1123.462
398.1644373985438,0.997400390625,0.9902,1600,0.6,444412.032,1145.036
