QPS,pruning_ratio,recall,gamma,ef
98.7703586886444,0.9021741943359375,0.9541233108108108,0.65,450
90.53122197477713,0.90169921875,0.963745777027027,0.65,500
83.28202547538399,0.90125927734375,0.970933277027027,0.65,550
77.8411626080534,0.900909423828125,0.9764611486486486,0.65,600
72.91540213363096,0.9005775146484375,0.9807474662162162,0.65,650
68.17717303051901,0.9003621826171875,0.9842221283783784,0.65,700
64.19281253921366,0.9001893920898437,0.9868023648648648,0.65,750
61.63446606988627,0.9000991821289063,0.9888293918918919,0.65,800
58.581383791722715,0.9000387573242188,0.9904501689189189,0.65,850
54.22203381337772,0.9000924682617187,0.991754222972973,0.65,900
52.581649597214145,0.9002554931640625,0.9927804054054054,0.65,950
49.2220308366464,0.9005650024414062,0.9935895270270271,0.65,1000
