QPS,pruning_ratio,recall,gamma,ef
81.409016888727884,0.8753140258789063,0.963317,0.69,350
78.74641248156935,0.8734262084960938,0.973205,0.69,400
72.99991420375206,0.8717090454101563,0.979749,0.69,450
68.72058434655858,0.8701929321289062,0.984298,0.69,500
64.350691307379016,0.8688018188476563,0.987478,0.69,550
60.60808039120771,0.8676548461914062,0.989752,0.69,600
56.03138256726859,0.8666432495117188,0.991419,0.69,650
53.644746011625074,0.865896240234375,0.992617,0.69,700
49.69138189856155,0.8649449462890625,0.994127,0.69,800
46.103426585026504,0.865255859375,0.995001,0.69,900
43.765066824382004,0.8678760986328125,0.995453,0.69,1000
