QPS,pruning_ratio,recall,gamma,ef
2726.459824359549,0.7816271362304688,0.9202,0.76,10
1827.2052625273636,0.8868825073242188,0.935,0.76,50
1591.5463670293743,0.9103222045898437,0.9423,0.76,90
1280.4630580822227,0.9243980712890625,0.9474,0.76,150
831.1553252110335,0.9359642333984375,0.9556,0.76,300
692.8735831935655,0.9387160034179688,0.9587,0.76,400
515.9996269915416,0.9414129638671875,0.9632,0.76,600
411.95081502696297,0.9425791015625,0.9675,0.76,800
342.86514923730294,0.943130126953125,0.9691,0.76,1000
128.9663740709421,0.9421862182617188,0.9792,0.76,3000
81.15003672285728,0.9386263427734375,0.9821,0.76,5000

1820.2445651584267,0.7786328125,0.9188,0.76,10,2509.892,323.754
1364.9152391796654,0.8843680419921875,0.9343,0.76,50,3648.363,347.712
1373.2523323789364,0.9089125366210937,0.9412,0.76,90,4553.962,374.653
1049.9177949419359,0.923668212890625,0.9467,0.76,150,5786.475,419.069
845.1078371320804,0.9357824096679688,0.9563,0.76,300,8752.271,543.479
703.4380095321185,0.9386467895507813,0.9597,0.76,400,10706.619,634.172
522.328159454706,0.9413411254882813,0.9652,0.76,600,14551.696,823.304
418.618364097324,0.9425464477539063,0.969,0.76,800,18360.852,1017.571
345.4960717703298,0.9431443481445313,0.9709,0.76,1000,22126.048,1214.826
130.00997290818296,0.9421859741210937,0.9807,0.76,3000,56307.576,3208.01
82.1420369850519,0.9386171264648437,0.9833,0.76,5000,85147.792,5201.046


1456.06838651266,0.018574468612670897,0.8538,0.0,60,1297.83,1282.144
1169.670527638226,0.010331165313720704,0.8824,0.0,100,1958.566,1946.426
649.5904190963882,0.004409133911132812,0.9073,0.0,200,3557.124,3548.534
455.8169943732308,0.0023334436416625978,0.922,0.0,300,5158.284,5152.171
283.9727741709395,0.0008012560606002807,0.9394,0.0,500,8335.497,8332.171
146.7012894857216,9.677320718765259e-05,0.9569,0.0,1000,16213.492,16212.759
74.93347099321012,4.463613033294678e-06,0.9715,0.0,2000,31348.936,31348.836
51.381348814797576,2.6576519012451172e-06,0.9773,0.0,3000,45379.964,45379.86
32.56701369271459,2.2731423377990723e-06,0.9815,0.0,5000,70425.136,70424.976
