QPS,pruning_ratio,recall,gamma,nprobe,k_factor
167.1858392617092,0.0,0.8024,0.0,40,6000.0
137.31496479930323,0.0,0.8339,0.0,60,6000.0
116.72172421501634,0.0,0.8558,0.0,80,6000.0
101.32195028056947,0.0,0.8713,0.0,100,6000.0
64.5886897971249,0.0,0.914,0.0,200,6000.0
53.123059958288884,0.0,0.9383,0.0,300,6000.0
48.71297092441296,0.0,0.9528,0.0,400,6000.0
44.286613167303585,0.0,0.969,0.0,600,6000.0
41.633324701546236,0.0,0.9792,0.0,800,6000.0
39.8105016990705,0.0,0.984,0.0,1000,6000.0
38.46576874040185,0.0,0.987,0.0,1200,6000.0


