QPS,recall,gamma,ef,m
tHNSW
255.8353871672658,0.9535,0.76,800,128
570.0347106135108,0.954,0.76,100,64
260.0524791763841,0.9608,0.76,400,32
131.0980311528108,0.9439,0.76,1000,16
10.027221960049922,0.95,0.7,2000,8
tIVFPQ
31.202667017206274,0.9533333333333334,0.63,1200,128
43.226125402948256,0.9533333333333334,0.63,1200,64
56.85298049869942,0.9523333333333334,0.63,1200,32
71.34645732878787,0.961,0.63,1500,16
64.83908787053817,0.9566666666666667,0.63,1500,8
56.71493426939696,0.952,0.63,1800,4

