QPS,recall,gamma,ef,m
tHNSW
280.77984081062115,0.9607,0.64,600,192
511.1088039361056,0.956,0.64,300,96
492.9758023933199,0.9549,0.64,300,48
85.55630447215171,0.949,0.6,500,24
10.089559397975522,0.941,0.6,2000,12
tIVFPQ
25.343468025385217,0.9453333333333334,0.53,100,192
49.13898968468427,0.945,0.53,100,96
52.32560953752454,0.958,0.53,150,48
53.4306786554687,0.9526666666666667,0.53,150,24
59.95841105434803,0.947,0.53,150,12
33.279308847687346,0.951,0.53,200,6
