QPS,pruning_ratio,recall,gamma,nprobe,k_factor
282.14074277820146,0.8681158447265624,0.5323,0.57,5,4000.0
177.3325102950254,0.7997552490234375,0.6053,0.57,8,4000.0
152.13609861941237,0.7561221313476563,0.6437,0.57,10,4000.0
92.33404900610172,0.6566802368164063,0.7101,0.57,15,4000.0
75.55511874227751,0.5635110473632813,0.7583,0.57,20,4000.0
52.69206602814726,0.414789794921875,0.818,0.57,30,4000.0
45.670083239617,0.3312328186035156,0.8533,0.57,40,4000.0
42.62181022905805,0.29937722778320314,0.8794,0.57,50,4000.0
40.83560493724512,0.28769085693359375,0.8984,0.57,60,4000.0
39.00400694812438,0.279872314453125,0.9115,0.57,70,4000.0
37.16301946130747,0.27485302734375,0.9214,0.57,80,4000.0
36.11237587582631,0.2713019409179688,0.9277,0.57,90,4000.0
35.02148216819766,0.26881362915039064,0.9345,0.57,100,4000.0
27.976103309315135,0.2621826171875,0.968,0.57,200,4000.0
23.831024126361953,0.2616416015625,0.9777,0.57,300,4000.0

490.54460188009756,0.403487548828125,0.5327,0.53,5,0.0
366.84564474527764,0.4633021850585938,0.6058,0.53,8,0.0
291.6365073517806,0.4918427734375,0.6444,0.53,10,0.0
195.68035891353674,0.5435289916992188,0.7106,0.53,15,0.0
170.40155136239045,0.5798323364257812,0.7585,0.53,20,0.0
125.12404848924407,0.6304823608398438,0.8183,0.53,30,0.0
107.15088886256437,0.6655380859375,0.8537,0.53,40,0.0
92.56586447922797,0.6921285400390625,0.8797,0.53,50,0.0
80.79366373941528,0.713509033203125,0.8987,0.53,60,0.0
75.48694640214147,0.731206787109375,0.9118,0.53,70,0.0
67.9464920467948,0.7462168579101562,0.9217,0.53,80,0.0
64.844392005133,0.7592879028320313,0.928,0.53,90,0.0
59.43247264327721,0.7707473754882812,0.9347,0.53,100,0.0
38.429812306879334,0.841614990234375,0.9684,0.53,200,0.0
29.900348875566383,0.8781492919921875,0.978,0.53,300,0.0
24.226730746365178,0.90121826171875,0.9817,0.53,400,0.0
