QPS,pruning_ratio,recall,gamma,ef
253.87036481081552,0.8832230834960938,0.97353,0.7,100
207.69845835430263,0.9022949829101562,0.98005,0.7,200
195.71188725423292,0.90937548828125,0.98264,0.7,300
185.56608441158335,0.913334228515625,0.98416,0.7,400
168.17443998742752,0.9172267456054688,0.98694,0.7,600
154.78985441914224,0.9188164672851562,0.98866,0.7,800
141.48716179716016,0.9193172607421874,0.99012,0.7,1000
133.94631632971794,0.9192841796875,0.99107,0.7,1200
117.70969146411768,0.9183814697265625,0.99276,0.7,1600
109.08443646965722,0.9177263793945313,0.99339,0.7,1800
82.95202034245902,0.9150612182617187,0.99496,0.7,2500
76.58884216873946,0.913058837890625,0.99572,0.7,3000
67.28594013952141,0.9110584106445313,0.99629,0.7,3500
