QPS, pruning_ratio, recall, gamma, nprobe, k_factor
239.4814101612123,0.7114097290039062,0.802,0.62,40,0.0
177.93465587942114,0.7639130249023437,0.863,0.62,60,0.0
155.63909057401244,0.7980988159179687,0.9007,0.62,80,0.0
140.70062288555525,0.8227724609375,0.9229,0.62,100,0.0
116.19583890584143,0.863504638671875,0.9548,0.62,150,0.0
100.89964251543101,0.888728515625,0.9692,0.62,200,0.0
89.6601909153362,0.9060619506835937,0.9781,0.62,250,0.0
81.10993354882181,0.9187742309570313,0.9832,0.62,300,0.0
69.8371570151851,0.9363129272460937,0.9869,0.62,400,0.0
60.9235450401385,0.9477596435546874,0.9889,0.62,500,0.0
54.24994628428771,0.9557296142578126,0.9899,0.62,600,0.0

180.21927065210843,0.7114097290039062,0.802,0.62,40,0.0,14219.067,3708.987
190.02779759292915,0.7639130249023437,0.863,0.62,60,0.0,21291.036,4539.348
168.1213682564328,0.7980988159179687,0.9007,0.62,80,0.0,28297.5,5164.587
152.80566422729655,0.8227724609375,0.9229,0.62,100,0.0,35248.876,5643.957
126.93547436228475,0.863504638671875,0.9548,0.62,150,0.0,52543.58,6491.885
113.32483197515053,0.888728515625,0.9692,0.62,200,0.0,69648.848,7029.81
103.57540638238538,0.9060619506835937,0.9781,0.62,250,0.0,86512.528,7386.517
92.03413837253571,0.9187742309570313,0.9832,0.62,300,0.0,103163.344,7629.487
81.06376085936975,0.9363129272460937,0.9869,0.62,400,0.0,136083.6,7918.797
74.81805537422719,0.9477596435546874,0.9889,0.62,500,0.0,168491.216,8068.095
66.88708355402824,0.9557296142578126,0.9899,0.62,600,0.0,200207.28,8142.277


107.91654297301443,0.010182980537414552,0.8085,0.0,40,0.0,14219.067,14099.639
74.43706567993296,0.012857498168945313,0.8698,0.0,60,0.0,21291.036,21032.812
60.721750930858214,0.015600743293762208,0.9078,0.0,80,0.0,28297.5,27848.078
50.27357377742098,0.01831393814086914,0.93,0.0,100,0.0,35248.876,34558.6
35.15497177350055,0.024806720733642578,0.9625,0.0,150,0.0,52543.58,51094.176
27.542372714408135,0.03072507667541504,0.9772,0.0,200,0.0,69648.848,67240.088
22.426087230835613,0.035853729248046876,0.9861,0.0,250,0.0,86512.528,83024.272
18.824678040998776,0.04054745101928711,0.9912,0.0,300,0.0,103163.344,98484.112
14.41072169590233,0.048897148132324215,0.995,0.0,400,0.0,136083.6,128699.096
11.746349608227842,0.05642949676513672,0.9971,0.0,500,0.0,168491.216,158045.968
9.974304875820248,0.06321221923828126,0.9981,0.0,600,0.0,200207.28,186411.6
